region;comuna;estado_principal_label;apto_para_visor;archivo_recomendado;capa_recomendada;motivo;prc_fecha;prc_nombre;actos_posteriores;ultimo_acto_posterior
Biobío;Quilleco;Sin cartografía SIG vinculada;NO;;;No se encontró una capa SIG vinculada con suficiente confianza al instrumento vigente.;;;0;
Biobío;San Pedro De La Paz;Requiere revisar cambios posteriores;REVISAR;IPT_BIOBIO/PRC/San Pedro de La Paz/IPT_08_PRC_San_Pedro_de_la_Paz.shp;IPT_08_PRC_San_Pedro_de_la_Paz;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;2011-03-24;Plan Regulador Comunal de San Pedro de la Paz;3;2019-02-09
Biobío;San Rosendo;Sin cartografía SIG vinculada;NO;;;No se encontró una capa SIG vinculada con suficiente confianza al instrumento vigente.;;;0;
Biobío;Santa Barbara;Requiere revisar cambios posteriores;REVISAR;IPT_BIOBIO/PRC/Santa Barbara/IPT_08_PRC_Santa_Barbara.shp;IPT_08_PRC_Santa_Barbara;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;1999-04-01;Plan Regulador Comunal de Santa Bárbara y Ralco;2;2015-05-23
Biobío;Santa Juana;Requiere revisar cambios posteriores;REVISAR;IPT_BIOBIO/PRC/Santa Juana/IPT_08_PRC_Santa_Juana.shp;IPT_08_PRC_Santa_Juana;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;2006-12-15;Plan Regulador Comunal de Santa Juana;1;2009-11-27
Biobío;Talcahuano;Requiere revisar cambios posteriores;REVISAR;IPT_BIOBIO/PRC/Talcahuano/IPT_08_PRC_Talcahuano.shp;IPT_08_PRC_Talcahuano;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;2006-01-31;Plan Regulador Comunal de Talcahuano;7;2015-06-02
Biobío;Tirua;Requiere revisar cambios posteriores;REVISAR;IPT_BIOBIO/PRC/Tirua/IPT_08_PRC_R_Tirua.shp;IPT_08_PRC_R_Tirua;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;2012-08-29;Plan Regulador Comunal de Tirúa;3;2017-06-07
Biobío;Tome;Requiere revisar cambios posteriores;REVISAR;IPT_BIOBIO/PRC/Tome/IPT_08_PRC_Tome.shp;IPT_08_PRC_Tome;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;2008-09-08;Plan Regulador Comunal de Tomé;4;2023-08-02
Biobío;Tucapel;Sin cartografía SIG vinculada;NO;;;No se encontró una capa SIG vinculada con suficiente confianza al instrumento vigente.;;;0;
Biobío;Yumbel;Requiere revisar cambios posteriores;REVISAR;IPT_BIOBIO/PRC/Yumbel/IPT_08_PRC_Yumbel.shp;IPT_08_PRC_Yumbel;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;2009-11-11;Plan Regulador Comunal de Yumbel;1;
Coquimbo;Andacollo;Requiere revisar cambios posteriores;REVISAR;IPT_Coquimbo/PRC/Andacollo/IPT_04_PRC_Andacollo.shp;IPT_04_PRC_Andacollo;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;1993-04-28;Plan Regulador Comunal_Andacollo;3;2011-11-18
Coquimbo;Canela;Sin cartografía SIG vinculada;NO;;;No se encontró una capa SIG vinculada con suficiente confianza al instrumento vigente.;;;0;
Coquimbo;Combarbala;Vigente · sin cambios posteriores detectados;SI;IPT_Coquimbo/PRC/Combarbala/IPT_04_PRC_Combarbala.shp;IPT_04_PRC_Combarbala;La cartografía está vinculada al instrumento vigente y no se detectaron actos posteriores vigentes que requieran incorporación.;2020-04-30;Plan Regulador Comunal de Combarbala;0;
Coquimbo;Coquimbo;Sin cartografía SIG vinculada;NO;;;No se encontró una capa SIG vinculada con suficiente confianza al instrumento vigente.;2026-01-05;Plan Regulador Comunal de Coquimbo, incluye localidades de Tongoy y Guanaqueros;0;
Coquimbo;Illapel;Requiere revisar cambios posteriores;REVISAR;IPT_Coquimbo/PRC/Illapel/IPT_04_PRC_Illapel.shp;IPT_04_PRC_Illapel;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;2009-08-08;Plan Regulador Comunal de Illapel;2;2015-04-29
Coquimbo;La Higuera;Vigente · sin cambios posteriores detectados;SI;IPT_Coquimbo/PRC/La Higuera/IPT_04_PRC_LaHiguera.shp;IPT_04_PRC_LaHiguera;La cartografía está vinculada al instrumento vigente y no se detectaron actos posteriores vigentes que requieran incorporación.;2020-04-29;Plan Regulador Comunal de La Higuera;0;
