region;comuna;estado_principal_label;apto_para_visor;archivo_recomendado;capa_recomendada;motivo;prc_fecha;prc_nombre;actos_posteriores;ultimo_acto_posterior
Libertador General Bernardo O'Higgins;Mostazal;Vigente · sin cambios posteriores detectados;SI;IPT_O'Higgins/PRC/Mostazal/IPT_06_PRC_Mostazal.shp;IPT_06_PRC_Mostazal;La cartografía está vinculada al instrumento vigente y no se detectaron actos posteriores vigentes que requieran incorporación.;2018-10-26;Plan Regulador Comunal de Mostazal;0;
Libertador General Bernardo O'Higgins;Nancagua;Sin cartografía SIG vinculada;NO;;;No se encontró una capa SIG vinculada con suficiente confianza al instrumento vigente.;;;0;
Libertador General Bernardo O'Higgins;Navidad;Vigente · sin cambios posteriores detectados;SI;IPT_O'Higgins/PRC/Navidad/IPT_06_PRC_Navidad.shp;IPT_06_PRC_Navidad;La cartografía está vinculada al instrumento vigente y no se detectaron actos posteriores vigentes que requieran incorporación.;2009-01-29;Plan Regulador Comunal de Navidad;0;
Libertador General Bernardo O'Higgins;Olivar;Requiere revisar cambios posteriores;REVISAR;IPT_O'Higgins/PRC/Olivar/IPT_06_PRC_Olivar.shp;IPT_06_PRC_Olivar;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;1990-09-24;Plan Regulador Comunal de Olivar;1;
Libertador General Bernardo O'Higgins;Palmilla;Vigente · sin cambios posteriores detectados;SI;IPT_O'Higgins/PRC/Palmilla/IPT_06_PRC_Palmilla.shp;IPT_06_PRC_Palmilla;La cartografía está vinculada al instrumento vigente y no se detectaron actos posteriores vigentes que requieran incorporación.;2008-08-28;Plan Regulador Comunal de Palmilla;0;
Libertador General Bernardo O'Higgins;Paredones;Vigente · sin cambios posteriores detectados;SI;IPT_O'Higgins/PRC/Paredones/IPT_06_PRC_Paredones.shp;IPT_06_PRC_Paredones;La cartografía está vinculada al instrumento vigente y no se detectaron actos posteriores vigentes que requieran incorporación.;2014-12-17;Plan Regulador Comunal de Paredones;0;
Libertador General Bernardo O'Higgins;Peralillo;Requiere revisar cambios posteriores;REVISAR;IPT_O'Higgins/PRC/Peralillo/IPT_06_PRC_Peralillo.shp;IPT_06_PRC_Peralillo;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;1996-11-26;Plan Regulador Comunal de Peralillo;1;
Libertador General Bernardo O'Higgins;Peumo;Vigente · sin cambios posteriores detectados;SI;IPT_O'Higgins/PRC/Peumo/IPT_06_PRC_Peumo.shp;IPT_06_PRC_Peumo;La cartografía está vinculada al instrumento vigente y no se detectaron actos posteriores vigentes que requieran incorporación.;2005-07-02;Plan Regulador de Peumo;0;
Libertador General Bernardo O'Higgins;Pichidegua;Vigente · sin cambios posteriores detectados;SI;IPT_O'Higgins/PRC/Pichidegua/IPT_06_PRC_Pichidegua.shp;IPT_06_PRC_Pichidegua;La cartografía está vinculada al instrumento vigente y no se detectaron actos posteriores vigentes que requieran incorporación.;2006-10-25;Plan Regulador Comunal de Pichidegua;0;
Libertador General Bernardo O'Higgins;Pichilemu;Requiere revisar cambios posteriores;REVISAR;IPT_O'Higgins/PRC/Pichilemu/IPT_06_PRC_Pichilemu.shp;IPT_06_PRC_Pichilemu;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;2005-02-26;Plan Regulador Comunal de Pichilemu;7;2020-09-04
Libertador General Bernardo O'Higgins;Placilla;Requiere revisar cambios posteriores;REVISAR;IPT_O'Higgins/PRC/Placilla/IPT_06_PRC_Placilla.shp;IPT_06_PRC_Placilla;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;1988-02-11;Plan Regulador Comunal de Placilla;1;
Libertador General Bernardo O'Higgins;Pumanque;Sin cartografía SIG vinculada;NO;;;No se encontró una capa SIG vinculada con suficiente confianza al instrumento vigente.;;;0;
Libertador General Bernardo O'Higgins;Quinta De Tilcoco;Requiere revisar cambios posteriores;REVISAR;IPT_O'Higgins/PRC/Qta Tilcoco/IPT_06_PRC_Qta_Tilcoco.shp;IPT_06_PRC_Qta_Tilcoco;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;1995-12-18;Plan Regulador Comunal de Quinta de Tilcoco;1;
Libertador General Bernardo O'Higgins;Rancagua;Requiere revisar cambios posteriores;REVISAR;IPT_O'Higgins/PRC/Rancagua/IPT_06_PRC_Rancagua.shp;IPT_06_PRC_Rancagua;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;1990-09-25;Plan Regulador Comunal de Rancagua;24;2021-02-26
Libertador General Bernardo O'Higgins;Rengo;Requiere revisar cambios posteriores;REVISAR;IPT_O'Higgins/PRC/Rengo/IPT_06_PRC_Rengo.shp;IPT_06_PRC_Rengo;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;2009-04-14;Plan Regulador Comunal de Rengo;18;2023-04-04
Libertador General Bernardo O'Higgins;Requinoa;Vigente · sin cambios posteriores detectados;SI;IPT_O'Higgins/PRC/Requinoa/IPT_06_PRC_Requinoa.shp;IPT_06_PRC_Requinoa;La cartografía está vinculada al instrumento vigente y no se detectaron actos posteriores vigentes que requieran incorporación.;2024-11-25;Plan Regulador Comunal de Requínoa;0;
Libertador General Bernardo O'Higgins;San Fernando;Requiere revisar cambios posteriores;REVISAR;IPT_O'Higgins/PRC/San Fernando/IPT_06_PRC_San_Fernando.shp;IPT_06_PRC_San_Fernando;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;1998-12-01;Plan Regulador Comunal de San Fernando;1;
Libertador General Bernardo O'Higgins;San Vicente;Vigente · sin cambios posteriores detectados;SI;IPT_O'Higgins/PRC/San Vicente/IPT_06_PRC_San_Vicente.shp;IPT_06_PRC_San_Vicente;La cartografía está vinculada al instrumento vigente y no se detectaron actos posteriores vigentes que requieran incorporación.;2006-09-27;Plan Regulador Comunal de San Vicente;0;
Libertador General Bernardo O'Higgins;Santa Cruz;Requiere revisar cambios posteriores;REVISAR;IPT_O'Higgins/PRC/Santa Cruz/IPT_06_PRC_Santa_Cruz.shp;IPT_06_PRC_Santa_Cruz;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;1988-10-10;Plan Regulador Comunal de Santa Cruz;6;2023-04-26
Los Lagos;Ancud;Requiere revisar cambios posteriores;REVISAR;IPT_LOSLAGOS/PRC/Ancud/IPT_10_PRC_Ancud.shp;IPT_10_PRC_Ancud;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;1996-08-22;Plan Regulador Comunal de Ancud;2;2009-10-17
Los Lagos;Calbuco;Requiere revisar cambios posteriores;REVISAR;IPT_LOSLAGOS/PRC/Calbuco/IPT_10_PRC_Calbuco.shp;IPT_10_PRC_Calbuco;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;2006-07-24;APRUEBA ACTUALIZACION AL PLAN REGULADOR COMUNAL DE CALBUCO;2;2019-07-13
Los Lagos;Castro;Requiere revisar cambios posteriores;REVISAR;IPT_LOSLAGOS/PRC/Castro/IPT_10_PRC_Castro.shp;IPT_10_PRC_Castro;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;2007-06-07;Plan Regulador Comunal de Castro;5;2020-10-08
Los Lagos;Chaiten;Sin cartografía SIG vinculada;NO;;;No se encontró una capa SIG vinculada con suficiente confianza al instrumento vigente.;;;0;
Los Lagos;Chonchi;Requiere revisar cambios posteriores;REVISAR;IPT_LOSLAGOS/PRC/Chonchi/IPT_10_PRC_Chonchi.shp;IPT_10_PRC_Chonchi;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;1999-12-23;Plan Regulador Comunal de Chonchi;3;2017-11-14
Los Lagos;Dalcahue;Sin cartografía SIG vinculada;NO;;;No se encontró una capa SIG vinculada con suficiente confianza al instrumento vigente.;;;0;
Los Lagos;Fresia;Requiere revisar cambios posteriores;REVISAR;IPT_LOSLAGOS/PRC/Fresia/IPT_10_PRC_Fresia.shp;IPT_10_PRC_Fresia;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;2004-01-19;Plan Regulador Comunal de Fresia;1;
Los Lagos;Frutillar;Probablemente actualizado · falta verificación espacial;REVISAR;IPT_LOSLAGOS/PRC/Frutillar/IPT_10_PRC_Frutillar.shp;IPT_10_PRC_Frutillar;Hay evidencia SIG compatible con todos los actos posteriores, pero aún falta comprobar geometría y atributos.;2004-10-28;Plan Regulador Comunal de Frutillar;1;2008-09-09
Los Lagos;Hualaihue;Sin cartografía SIG vinculada;NO;;;No se encontró una capa SIG vinculada con suficiente confianza al instrumento vigente.;;;0;
Los Lagos;Llanquihue;Requiere revisar cambios posteriores;REVISAR;IPT_LOSLAGOS/PRC/Llanquihue/IPT_10_PRC_Llanquihue.shp;IPT_10_PRC_Llanquihue;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;1988-03-04;Plan Regulador Comunal de Llanquihue;2;2000-12-29
Los Lagos;Los Muermos;Sin cartografía SIG vinculada;NO;;;No se encontró una capa SIG vinculada con suficiente confianza al instrumento vigente.;;;0;
Los Lagos;Maullin;Vigente · sin cambios posteriores detectados;SI;IPT_LOSLAGOS/PRC/Maullin/IPT_10_PRC_Maullin.shp;IPT_10_PRC_Maullin;La cartografía está vinculada al instrumento vigente y no se detectaron actos posteriores vigentes que requieran incorporación.;2022-07-19;Plan Regulador Comunal de Maullín;0;
Los Lagos;Osorno;Requiere revisar cambios posteriores;REVISAR;IPT_LOSLAGOS/PRC/Osorno/IPT_10_PRC_Osorno.shp;IPT_10_PRC_Osorno;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;1992-04-03;Plan Regulador Comunal de Osorno;10;2019-04-03
Los Lagos;Palena;Requiere revisar cambios posteriores;REVISAR;IPT_LOSLAGOS/PRC/Palena/IPT_10_PRC_Palena.shp;IPT_10_PRC_Palena;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;1989-01-23;Plan Regulador Comunal de Palena;1;
Los Lagos;Puerto Montt;Probablemente actualizado · falta verificación espacial;REVISAR;IPT_LOSLAGOS/PRC/Puerto Montt/IPT_10_PRC_Puerto_Montt.shp;IPT_10_PRC_Puerto_Montt;Hay evidencia SIG compatible con todos los actos posteriores, pero aún falta comprobar geometría y atributos.;2009-11-12;Plan Regulador Comunal de Puerto Montt;2;2016-10-25
Los Lagos;Puerto Octay;Requiere revisar cambios posteriores;REVISAR;IPT_LOSLAGOS/PRC/Puerto Octay/IPT_10_PRC_Puerto_Octay.shp;IPT_10_PRC_Puerto_Octay;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;1996-02-03;Plan Regulador Comunal de Puerto Octay;1;
Los Lagos;Puerto Varas;Sin cartografía SIG vinculada;NO;;;No se encontró una capa SIG vinculada con suficiente confianza al instrumento vigente.;2025-07-24;Actualización PRC Puerto Varas;1;
Los Lagos;Puqueldon;Sin cartografía SIG vinculada;NO;;;No se encontró una capa SIG vinculada con suficiente confianza al instrumento vigente.;;;0;
Los Lagos;Purranque;Requiere revisar cambios posteriores;REVISAR;IPT_LOSLAGOS/PRC/Purranque/IPT_10_PRC_Purranque.shp;IPT_10_PRC_Purranque;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;1968-01-12;Plan Regulador Comunal de Purranque;4;2002-10-02
Los Lagos;Puyehue;Requiere revisar cambios posteriores;REVISAR;IPT_LOSLAGOS/PRC/Puyehue/IPT_10_PRC_Puyehue.shp;IPT_10_PRC_Puyehue;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;1993-01-28;Plan Regulador Comunal de Puyehue;2;2001-07-27
Los Lagos;Queilen;Requiere revisar cambios posteriores;REVISAR;IPT_LOSLAGOS/PRC/Queilen/IPT_10_PRC_Queilen.shp;IPT_10_PRC_Queilen;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;1997-06-06;Plan Regulador Comunal de Queilén;2;2004-03-13
Los Lagos;Quellon;Requiere revisar cambios posteriores;REVISAR;IPT_LOSLAGOS/PRC/Quellon/IPT_10_PRC_Quellon.shp;IPT_10_PRC_Quellon;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;2005-06-16;Plan Regulador Comunal de Quellón;2;2018-03-26
Los Lagos;Quemchi;Sin cartografía SIG vinculada;NO;;;No se encontró una capa SIG vinculada con suficiente confianza al instrumento vigente.;;;0;
Los Lagos;Quinchao;Requiere revisar cambios posteriores;REVISAR;IPT_LOSLAGOS/PRC/Quinchao/IPT_10_PRC_Quinchao_Achao.shp;IPT_10_PRC_Quinchao_Achao;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;1999-08-27;Plan Regulador Comunal de Quinchao;3;2013-08-29
Los Lagos;Rio Negro;Vigente · sin cambios posteriores detectados;SI;IPT_LOSLAGOS/PRC/Rio Negro/IPT_10_PRC_Rio_Negro.shp;IPT_10_PRC_Rio_Negro;La cartografía está vinculada al instrumento vigente y no se detectaron actos posteriores vigentes que requieran incorporación.;1966-11-04;Plan Regulador Comunal de Río Negro;0;
Los Lagos;San Juan De La Costa;Sin PRC/LU vigente identificado;REVISAR;;;No se identificó un PRC o límite urbano comunal principal.;;;0;
Los Lagos;San Pablo;Vigente · sin cambios posteriores detectados;SI;IPT_LOSLAGOS/PRC/San Pablo/IPT_10_PRC_San_Pablo.shp;IPT_10_PRC_San_Pablo;La cartografía está vinculada al instrumento vigente y no se detectaron actos posteriores vigentes que requieran incorporación.;2010-03-18;Plan Regulador Comunal de San Pablo;0;
Los Ríos;Corral;Requiere revisar cambios posteriores;REVISAR;IPT_LOSRIOS/PRC/Corral/IPT_14_PRC_Corral.shp;IPT_14_PRC_Corral;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;1997-04-21;Plan Regulador Comunal de Corral;2;2023-01-11
Los Ríos;Futrono;Requiere revisar cambios posteriores;REVISAR;IPT_LOSRIOS/PRC/Futrono/IPT_14_PRC_Futrono.shp;IPT_14_PRC_Futrono;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;1997-12-03;Plan Regulador Comunal de Futrono;1;
Los Ríos;La Union;Requiere revisar cambios posteriores;REVISAR;IPT_LOSRIOS/PRC/La Union/IPT_14_PRC_La_Union.shp;IPT_14_PRC_La_Union;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;2003-04-04;Plan Regulador Comunal de La Unión;3;2014-12-20
Los Ríos;Lago Ranco;Probablemente actualizado · falta verificación espacial;REVISAR;IPT_LOSRIOS/PRC/Lago Ranco/IPT_14_PRC_Lago_Ranco.shp;IPT_14_PRC_Lago_Ranco;Hay evidencia SIG compatible con todos los actos posteriores, pero aún falta comprobar geometría y atributos.;1996-04-27;Plan Regulador Comunal de Lago Ranco;3;2007-07-21
Los Ríos;Lanco;SIG encontrado, vínculo ambiguo;REVISAR;IPT_LOSRIOS/PRC/Lanco/IPT_14_PRC_Lanco.shp;IPT_14_PRC_Lanco;Existe cartografía candidata, pero todavía no se puede asegurar que corresponda al instrumento correcto.;2003-05-30;Plan Regulador Comunal de Lanco;1;
Los Ríos;Los Lagos;Requiere revisar cambios posteriores;REVISAR;IPT_LOSRIOS/PRC/Los Lagos/IPT_14_PRC_Los_Lagos.shp;IPT_14_PRC_Los_Lagos;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;1996-12-31;Plan Regulador Comunal de Los Lagos;2;2008-07-03
Los Ríos;Mafil;Vigente · sin cambios posteriores detectados;SI;IPT_LOSRIOS/PRC/Mafil/IPT_14_PRC_Máfil.shp;IPT_14_PRC_Máfil;La cartografía está vinculada al instrumento vigente y no se detectaron actos posteriores vigentes que requieran incorporación.;2024-07-09;Plan Regulador Comunal de Máfil;0;
Los Ríos;Mariquina;Sin cartografía SIG vinculada;NO;;;No se encontró una capa SIG vinculada con suficiente confianza al instrumento vigente.;;;0;
Los Ríos;Paillaco;Vigente · sin cambios posteriores detectados;SI;IPT_LOSRIOS/PRC/Paillaco/IPT_14_PRC_Paillaco.shp;IPT_14_PRC_Paillaco;La cartografía está vinculada al instrumento vigente y no se detectaron actos posteriores vigentes que requieran incorporación.;2022-10-17;Plan Regulador Comunal de Paillaco;0;
Los Ríos;Panguipulli;Requiere revisar cambios posteriores;REVISAR;IPT_LOSRIOS/PRC/Panguipulli/IPT_14_PRC_Panguipulli.shp;IPT_14_PRC_Panguipulli;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;1990-07-27;Plan Regulador Comunal de Panguipulli;7;2015-04-29
Los Ríos;Rio Bueno;Requiere revisar cambios posteriores;REVISAR;IPT_LOSRIOS/PRC/Rio Bueno/IPT_14_PRC_Rio_Bueno.shp;IPT_14_PRC_Rio_Bueno;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;1991-03-11;Plan Regulador Comunal de Río Bueno;2;2021-10-02
Los Ríos;Valdivia;SIG encontrado, vínculo ambiguo;REVISAR;IPT_LOSRIOS/PRC/Valdivia/IPT_14_PRC_Valdivia.shp;IPT_14_PRC_Valdivia;Existe cartografía candidata, pero todavía no se puede asegurar que corresponda al instrumento correcto.;1988-11-03;Plan Regulador Comunal de Valdivia;27;2011-08-20
Magallanes y de la Antártica Chilena;Cabo De Hornos;Probablemente actualizado · falta verificación espacial;REVISAR;IPT_Magallanes/PRC/Puerto Williams/IPT_12_PRC_Puerto_Williams_CaboHornos.shp;IPT_12_PRC_Puerto_Williams_CaboHornos;Hay evidencia SIG compatible con todos los actos posteriores, pero aún falta comprobar geometría y atributos.;1988-02-08;Plan Regulador Puerto Williams;2;2002-02-05
Magallanes y de la Antártica Chilena;Laguna Blanca;Sin PRC/LU vigente identificado;REVISAR;;;No se identificó un PRC o límite urbano comunal principal.;;;0;
Magallanes y de la Antártica Chilena;Natales;Probablemente actualizado · falta verificación espacial;REVISAR;IPT_Magallanes/PRC/Puerto Natales/IPT_12_PRC_Puerto_Natales.shp;IPT_12_PRC_Puerto_Natales;Hay evidencia SIG compatible con todos los actos posteriores, pero aún falta comprobar geometría y atributos.;1987-07-07;Plan Regulador Comunal de Natales, localidad de Puerto Natales;1;1991-02-13
Magallanes y de la Antártica Chilena;Porvenir;Requiere revisar cambios posteriores;REVISAR;IPT_Magallanes/PRC/Porvenir/IPT_12_PRC_Porvenir.shp;IPT_12_PRC_Porvenir;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;2002-07-09;Plan Regulador Comunal de Porvenir;1;
Magallanes y de la Antártica Chilena;Punta Arenas;Probablemente actualizado · falta verificación espacial;REVISAR;IPT_Magallanes/PRC/Punta Arenas/IPT_12_PRC_Punta_Arenas.shp;IPT_12_PRC_Punta_Arenas;Hay evidencia SIG compatible con todos los actos posteriores, pero aún falta comprobar geometría y atributos.;2016-12-28;Plan Regulador Comunal de Punta Arenas;2;
Magallanes y de la Antártica Chilena;San Gregorio;Probablemente actualizado · falta verificación espacial;REVISAR;IPT_Magallanes/PRC/Punta Delgada/IPT_12_PRC_Punta_Delgada_San_Gregorio.shp;IPT_12_PRC_Punta_Delgada_San_Gregorio;Hay evidencia SIG compatible con todos los actos posteriores, pero aún falta comprobar geometría y atributos.;2000-02-01;Plan Regulador Comunal de Punta Delgada, comuna San Gregorio;1;
Magallanes y de la Antártica Chilena;Torres Del Paine;Sin PRC/LU vigente identificado;REVISAR;;;No se identificó un PRC o límite urbano comunal principal.;;;0;
Maule;Cauquenes;Probablemente actualizado · falta verificación espacial;REVISAR;IPT_Maule/PRC/Cauquenes/IPT_07_PRC_Cauquenes.shp;IPT_07_PRC_Cauquenes;Hay evidencia SIG compatible con todos los actos posteriores, pero aún falta comprobar geometría y atributos.;2009-09-04;Plan Regulador Comunal de Cauquenes;2;2026-04-28
Maule;Chanco;Sin cartografía SIG vinculada;NO;;;No se encontró una capa SIG vinculada con suficiente confianza al instrumento vigente.;;;0;
Maule;Colbun;Vigente · sin cambios posteriores detectados;SI;IPT_Maule/PRC/Colbun/IPT_07_PRC_Colbun.shp;IPT_07_PRC_Colbun;La cartografía está vinculada al instrumento vigente y no se detectaron actos posteriores vigentes que requieran incorporación.;2014-02-05;Plan Regulador Comunal de Colbún;0;
Maule;Constitucion;Requiere revisar cambios posteriores;REVISAR;IPT_Maule/PRC/Constitucion/IPT_07_PRC_Constitucion.shp;IPT_07_PRC_Constitucion;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;1988-02-06;Plan Regulador Comunal de Constitución;6;2022-12-26
Maule;Curepto;Vigente · sin cambios posteriores detectados;SI;IPT_Maule/PRC/Curepto/IPT_07_PRC_Curepto.shp;IPT_07_PRC_Curepto;La cartografía está vinculada al instrumento vigente y no se detectaron actos posteriores vigentes que requieran incorporación.;2016-09-23;Plan Regulador Comunal de Curepto;0;
Maule;Curico;Requiere revisar cambios posteriores;REVISAR;IPT_Maule/PRC/Curico/IPT_07_PRC_Curico.shp;IPT_07_PRC_Curico;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;2011-08-02;Plan Regulador Comunal de Curicó;4;2025-09-29
Maule;Empedrado;Sin cartografía SIG vinculada;NO;;;No se encontró una capa SIG vinculada con suficiente confianza al instrumento vigente.;;;0;
Maule;Hualañe;Sin cartografía SIG vinculada;NO;;;No se encontró una capa SIG vinculada con suficiente confianza al instrumento vigente.;;;0;
Maule;Licanten;Sin cartografía SIG vinculada;NO;;;No se encontró una capa SIG vinculada con suficiente confianza al instrumento vigente.;;;0;
Maule;Linares;Vigente · sin cambios posteriores detectados;SI;IPT_Maule/PRC/Linares/IPT_07_PRC_Linares.shp;IPT_07_PRC_Linares;La cartografía está vinculada al instrumento vigente y no se detectaron actos posteriores vigentes que requieran incorporación.;2017-12-04;Plan Regulador Comunal de Linares;0;
Maule;Longavi;Sin cartografía SIG vinculada;NO;;;No se encontró una capa SIG vinculada con suficiente confianza al instrumento vigente.;;;0;
Maule;Maule;Vigente · sin cambios posteriores detectados;SI;IPT_Maule/PRC/Maule/IPT_07_PRC_Maule.shp;IPT_07_PRC_Maule;La cartografía está vinculada al instrumento vigente y no se detectaron actos posteriores vigentes que requieran incorporación.;2019-07-19;Plan Regulador Comunal de Maule;0;
Maule;Molina;Requiere revisar cambios posteriores;REVISAR;IPT_Maule/PRC/Molina/IPT_07_PRC_Molina.shp;IPT_07_PRC_Molina;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;2022-12-07;Plan Regulador Comunal de Molina;3;2025-09-25
Maule;Parral;Requiere revisar cambios posteriores;REVISAR;IPT_Maule/PRC/Parral/IPT_07_PRC_Parral.shp;IPT_07_PRC_Parral;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;1990-07-03;Plan Regulador Comunal de Parral;3;2015-04-29
Maule;Pelluhue;Vigente · sin cambios posteriores detectados;SI;IPT_Maule/PRC/Pelluhue/IPT_07_PRC_Pelluhue.shp;IPT_07_PRC_Pelluhue;La cartografía está vinculada al instrumento vigente y no se detectaron actos posteriores vigentes que requieran incorporación.;2012-12-04;Plan Regulador Comunal de Pelluhue;0;
Maule;Pencahue;Probablemente actualizado · falta verificación espacial;REVISAR;IPT_Maule/PRC/Pencahue/IPT_07_PRC_Pencahue.shp;IPT_07_PRC_Pencahue;Hay evidencia SIG compatible con todos los actos posteriores, pero aún falta comprobar geometría y atributos.;2021-12-10;Plan Regulador Comunal de Pencahue;1;2024-04-19
Maule;Rauco;SIG encontrado, vínculo ambiguo;REVISAR;IPT_Maule/PRC/Rauco/IPT_07_PRC_Rauco.shp;IPT_07_PRC_Rauco;Existe cartografía candidata, pero todavía no se puede asegurar que corresponda al instrumento correcto.;;;0;
Maule;Retiro;Sin cartografía SIG vinculada;NO;;;No se encontró una capa SIG vinculada con suficiente confianza al instrumento vigente.;;;0;
Maule;Rio Claro;Sin cartografía SIG vinculada;NO;;;No se encontró una capa SIG vinculada con suficiente confianza al instrumento vigente.;;;0;
Maule;Romeral;Probablemente actualizado · falta verificación espacial;REVISAR;IPT_Maule/PRC/Romeral/IPT_07_PRC_Romeral.shp;IPT_07_PRC_Romeral;Hay evidencia SIG compatible con todos los actos posteriores, pero aún falta comprobar geometría y atributos.;2017-05-25;Plan Regulador Comunal de Romeral;2;2021-11-24
Maule;Sagrada Familia;Sin cartografía SIG vinculada;NO;;;No se encontró una capa SIG vinculada con suficiente confianza al instrumento vigente.;;;0;
Maule;San Clemente;Vigente · sin cambios posteriores detectados;SI;IPT_Maule/PRC/San Clemente/IPT_07_PRC_San_Clemente.shp;IPT_07_PRC_San_Clemente;La cartografía está vinculada al instrumento vigente y no se detectaron actos posteriores vigentes que requieran incorporación.;2019-06-11;Plan Regulador Comunal de San Clemente;0;
Maule;San Javier;Vigente · sin cambios posteriores detectados;SI;IPT_Maule/PRC/San Javier/IPT_07_PRC_San_Javier.shp;IPT_07_PRC_San_Javier;La cartografía está vinculada al instrumento vigente y no se detectaron actos posteriores vigentes que requieran incorporación.;2016-11-07;Plan Regulador Comunal de San Javier;0;
Maule;Talca;Requiere revisar cambios posteriores;REVISAR;IPT_Maule/PRC/Talca/IPT_07_PRC_Talca.shp;IPT_07_PRC_Talca;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;2011-10-26;Plan Regulador Comunal de Talca;4;2025-10-13
Maule;Teno;Vigente · sin cambios posteriores detectados;SI;IPT_Maule/PRC/Teno/IPT_07_PRC_Teno.shp;IPT_07_PRC_Teno;La cartografía está vinculada al instrumento vigente y no se detectaron actos posteriores vigentes que requieran incorporación.;2017-10-04;Plan Regulador Comunal de Teno;0;
Maule;Vichuquen;Requiere revisar cambios posteriores;REVISAR;IPT_Maule/PRC/Vichuquen/IPT_07_PRC_Vichuquen.shp;IPT_07_PRC_Vichuquen;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;1967-09-08;Plan Regulador Comunal de Vichuquén;3;1987-02-27
Maule;Villa Alegre;Vigente · sin cambios posteriores detectados;SI;IPT_Maule/PRC/Villa Alegre/PRC_Villa_Alegre.shp;PRC_Villa_Alegre;La cartografía está vinculada al instrumento vigente y no se detectaron actos posteriores vigentes que requieran incorporación.;2024-05-04;Plan Regulador Comunal de Villa Alegre;0;
Maule;Yerbas Buenas;Vigente · sin cambios posteriores detectados;SI;IPT_Maule/PRC/Yerbas Buenas/IPT_07_PRC_YerbasBuenas.shp;IPT_07_PRC_YerbasBuenas;La cartografía está vinculada al instrumento vigente y no se detectaron actos posteriores vigentes que requieran incorporación.;2018-12-11;Plan Regulador Comunal de Yerbas Buenas;0;
Metropolitana de Santiago;Buin;Sin cartografía SIG vinculada;NO;;;No se encontró una capa SIG vinculada con suficiente confianza al instrumento vigente.;;;0;
Metropolitana de Santiago;Calera De Tango;Sin cartografía SIG vinculada;NO;;;No se encontró una capa SIG vinculada con suficiente confianza al instrumento vigente.;;;0;
Metropolitana de Santiago;Cerrillos;Sin cartografía SIG vinculada;NO;;;No se encontró una capa SIG vinculada con suficiente confianza al instrumento vigente.;1965-09-20;Plan Regulador Comunal de Maipú;2;2011-02-18
